City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
330,huarmey,-10.0681,-78.1522,77.02,81,98,8.66,PE,2023-04-17 03:58:48
331,geraldton,-28.7667,114.6,81.01,28,100,4.61,AU,2023-04-17 03:58:48
332,simao,22.7886,100.9748,89.11,19,2,8.14,CN,2023-04-17 03:58:49
333,nanortalik,60.1432,-45.2371,31.06,89,99,1.1,GL,2023-04-17 03:58:49
334,petropavlovsk-kamchatskiy,53.0452,158.6483,36.19,87,100,20.13,RU,2023-04-17 03:58:49
335,havelock,34.8791,-76.9013,69.98,85,0,16.11,US,2023-04-17 03:58:49
336,shimoda,34.6667,138.95,66.11,50,38,3.87,JP,2023-04-17 03:58:49
337,sinnamary,5.3833,-52.95,77.16,90,100,8.97,GF,2023-04-17 03:58:50
338,road town,18.4167,-64.6167,77.09,78,3,16.78,VG,2023-04-17 03:57:13
339,ponta do sol,32.6667,-17.1,63.23,72,84,3.15,PT,2023-04-17 03:58:50
340,rangapara,26.8167,92.65,94.44,24,0,7.02,IN,2023-04-17 03:58:50
341,onguday,50.75,86.15,38.53,87,100,6.17,RU,2023-04-17 03:58:50
342,tsurugi,36.45,136.6333,53.29,72,87,7.52,JP,2023-04-17 03:58:51
343,kushmurun,52.4503,64.6311,36.07,39,1,13.42,KZ,2023-04-17 03:58:51
344,flinders,-34.5833,150.8552,66.25,59,67,6.08,AU,2023-04-17 03:58:51
345,nioro,13.35,-15.75,82.31,39,25,4.72,GM,2023-04-17 03:58:51
346,aguimes,27.9054,-15.4461,63.66,63,40,8.99,ES,2023-04-17 03:58:51
347,gao,16.6362,1.637,77.52,9,1,8.12,ML,2023-04-17 03:58:52
348,pisco,-13.7,-76.2167,71.65,83,0,11.5,PE,2023-04-17 03:58:52
349,akyab,20.15,92.9,86.99,69,21,7.74,MM,2023-04-17 03:58:52
350,maneadero,31.7167,-116.5667,56.1,81,39,4.0,MX,2023-04-17 03:58:52
351,san gabriel,34.0961,-118.1058,62.58,74,100,0.0,US,2023-04-17 03:58:52
352,fairview,40.8126,-73.999,59.77,86,100,10.36,US,2023-04-17 03:58:53
353,zima,53.9202,102.0442,33.1,49,100,3.85,RU,2023-04-17 03:58:53
354,burnie,-41.0667,145.9167,69.46,70,20,9.48,AU,2023-04-17 03:58:53
355,domoni,-12.2569,44.5319,80.33,80,45,6.08,KM,2023-04-17 03:58:53
356,jamsa,61.8642,25.19,23.72,98,95,2.51,FI,2023-04-17 03:58:53
357,cherskiy,68.75,161.3,29.37,71,15,5.48,RU,2023-04-17 03:58:53
358,katima mulilo,-17.5,24.2667,57.45,74,0,4.21,NA,2023-04-17 03:58:54
359,paita,-5.0892,-81.1144,78.93,79,100,6.13,PE,2023-04-17 03:58:54
360,boende,-0.2167,20.8667,69.33,99,100,2.71,CD,2023-04-17 03:58:54
361,ronnede,55.2571,12.0212,35.6,81,55,6.31,DK,2023-04-17 03:58:55
362,touros,-5.1989,-35.4608,77.72,90,99,7.49,BR,2023-04-17 03:58:55
363,gat,31.61,34.7642,65.39,100,0,3.24,IL,2023-04-17 03:54:05
364,costa rica,-23.4167,-54.65,68.59,97,1,3.91,BR,2023-04-17 03:58:55
365,quatre cocos,-20.2078,57.7625,80.1,79,63,7.9,MU,2023-04-17 03:58:55
366,banda aceh,5.5577,95.3222,87.39,65,13,4.09,ID,2023-04-17 03:58:56
367,touho,-20.7833,165.2333,81.82,78,65,4.97,NC,2023-04-17 03:58:56
